price,title,url
"Rs 1,500",Mobilink/Warid/JAZZ wingle & cloud upto 150mbps NEW(FREE DELIVERY),https://www.olx.com.pk/item/mobilink-warid-jazz-wingle-cloud-upto-150mbps-newfree-delivery-IDWN85X.html
"Rs 3,200",EVO wingle (PTCL) 15GB for 570(students package),https://www.olx.com.pk/item/evo-wingle-ptcl-15gb-for-570students-package-IDWN85r.html
"Rs 9,300",Assalam Alaiqum friends selling Dell T3500,https://www.olx.com.pk/item/assalam-alaiqum-friends-selling-dell-t3500-IDUMIZs.html
"Rs 4,50,000",Antminer L3+ 504MH/s,https://www.olx.com.pk/item/antminer-l3-504mh-s-IDWN84N.html
"Rs 5,000",Nvidia Quadro FX 3800 1GB,https://www.olx.com.pk/item/nvidia-quadro-fx-3800-1gb-IDWEmGz.html
"Rs 12,000",Amd Ati hd5970 Dual gpu 2gb ddr5 512bit dx11,https://www.olx.com.pk/item/amd-ati-hd5970-dual-gpu-2gb-ddr5-512bit-dx11-IDWN84R.html
"Rs 9,500",Nvidia gtx570 1280mb ddr5 320bit dx12,https://www.olx.com.pk/item/nvidia-gtx570-1280mb-ddr5-320bit-dx12-IDWFPTb.html
"Rs 35,500","Assalam-o-Alaiqum friends Selling Mac Pro ""Eight Core"" 2008",https://www.olx.com.pk/item/assalam-o-alaiqum-friends-selling-mac-pro-eight-core-2008-IDUz5Pb.html
"Rs 37,500","Dell Latitude E6540 8Core i7 Turbo3.7GHz, AMD-Radeon 2GB GDDR5 VGA",https://www.olx.com.pk/item/dell-latitude-e6540-8core-i7-turbo3-7ghz-amd-radeon-2gb-gddr5-vga-IDWM4ZN.html
"Rs 22,000",GTX 960 4 gb,https://www.olx.com.pk/item/gtx-960-4-gb-IDWMBXZ.html
"Rs 2,500",Evo wingle (PTCL) 20GB for 855(special package),https://www.olx.com.pk/item/evo-wingle-ptcl-20gb-for-855special-package-IDWN85E.html
Rs 100,Sound Card For Desktop Computer - Lahore,https://www.olx.com.pk/item/sound-card-for-desktop-computer-lahore-IDWN824.html
"Rs 6,500",4TH GENERATION Motherboard GIGABYTE H97 Gaming,https://www.olx.com.pk/item/4th-generation-motherboard-gigabyte-h97-gaming-IDWHyV7.html
"Rs 35,000","All in one pc, touch smart",https://www.olx.com.pk/item/all-in-one-pc-touch-smart-IDT6kjt.html
"Rs 9,000",Hp core to duo 2gb ram 160gb hdd super drive15.6display,https://www.olx.com.pk/item/hp-core-to-duo-2gb-ram-160gb-hdd-super-drive15-6display-IDWLxKr.html
